,Unnamed: 0,Artist,Position,Streams,Track Name,Week,acousticness,album,artist_top_genre,danceability,energy,instrumentalness,length,liveness,loudness,popularity,release_date,speechiness,tempo,time_signature
46,46,Post Malone,47.0,954656.0,Sunflower - Spider-Man: Into the Spider-Verse,2019-10-11--2019-10-18,0.5329999999999999,Hollywood's Bleeding,rap,0.755,0.522,0.0,157560.0,0.0685,-4.368,82.0,2019-09-06,0.0575,89.96,4.0
47,47,Lewis Capaldi,48.0,945472.0,Hold Me While You Wait,2019-10-11--2019-10-18,0.44299999999999995,Divinely Uninspired To A Hellish Extent,pop,0.688,0.53,0.0,205686.0,0.0995,-5.507000000000001,82.0,2019-05-17,0.0333,106.958,4.0
48,48,Post Malone,49.0,945445.0,Take What You Want (feat. Ozzy Osbourne & Travis Scott),2019-10-11--2019-10-18,0.0906,Hollywood's Bleeding,rap,0.499,0.8,0.0,229573.0,0.147,-2.665,79.0,2019-09-06,0.0502,139.91899999999998,4.0
49,49,Riton,50.0,907804.0,Turn Me On (feat. Vula),2019-10-11--2019-10-18,0.0149,Turn Me On (feat. Vula),house,0.737,0.828,0.000583,208473.0,0.0862,-4.711,78.0,2019-09-13,0.0396,124.052,4.0
50,50,Chris Brown,51.0,843218.0,No Guidance (feat. Drake),2019-10-11--2019-10-18,0.12300000000000001,Indigo,dance,0.698,0.45399999999999996,0.0,260640.0,0.155,-6.756,84.0,2019-06-28,0.151,92.932,4.0
51,51,Juice WRLD,52.0,813792.0,Bandit (with YoungBoy Never Broke Again),2019-10-11--2019-10-18,0.0687,Bandit (with YoungBoy Never Broke Again),rap,0.474,0.631,0.0,189322.0,0.132,-5.8839999999999995,84.0,2019-10-04,0.34299999999999997,180.051,4.0
52,52,MEDUZA,53.0,809636.0,Piece Of Your Heart,2019-10-11--2019-10-18,0.0404,Piece Of Your Heart,edm,0.677,0.7440000000000001,0.00016,152913.0,0.07400000000000001,-6.806,82.0,2019-02-01,0.0295,124.08,4.0
53,53,MEDUZA,54.0,737865.0,Lose Control,2019-10-11--2019-10-18,0.129,Lose Control,edm,0.598,0.526,0.0,168387.0,0.14,-8.658999999999999,85.0,2019-10-11,0.0415,123.935,4.0
54,54,Post Malone,55.0,719570.0,Saint-Tropez,2019-10-11--2019-10-18,0.0545,Hollywood's Bleeding,rap,0.617,0.684,0.0,150866.0,0.10400000000000001,-3.6180000000000003,77.0,2019-09-06,0.0439,132.113,4.0
55,55,Russ Millions,56.0,719005.0,Keisha & Becky - Remix,2019-10-11--2019-10-18,0.251,Keisha & Becky (Remix),hip hop,0.863,0.47100000000000003,0.0,252906.0,0.121,-9.545,70.0,2019-04-11,0.478,140.969,4.0
56,56,Ariana Grande,57.0,718990.0,boyfriend (with Social House),2019-10-11--2019-10-18,0.11900000000000001,boyfriend,dance,0.4,0.795,0.0,186106.0,0.159,-3.7310000000000003,79.0,2019-08-02,0.461,190.097,4.0
57,57,D-Block Europe,58.0,715704.0,Home P*ssy,2019-10-11--2019-10-18,0.0316,PTSD,hip hop,0.633,0.57,0.0,205333.0,0.0695,-7.581,62.0,2019-09-27,0.33299999999999996,179.94099999999997,4.0
58,58,Stormzy,59.0,698565.0,Wiley Flow,2019-10-11--2019-10-18,0.24100000000000002,Wiley Flow,grime,0.716,0.68,0.0,207365.0,0.20199999999999999,-4.721,58.0,2019-09-15,0.309,140.417,4.0
59,59,Dave,60.0,692496.0,Thiago Silva,2019-10-11--2019-10-18,0.0641,Thiago Silva,hip hop,0.667,0.6729999999999999,4e-06,201963.0,0.0975,-7.574,70.0,2016-05-13,0.32299999999999995,144.256,4.0
