,Artist,Position,Streams,Track Name,Week,acousticness,album,artist_top_genre,danceability,energy,instrumentalness,length,liveness,loudness,popularity,release_date,speechiness,tempo,time_signature
1907,Mariah Carey,108.0,734865.0,Christmas (Baby Please Come Home),2019-12-13--2019-12-20,0.022,Merry Christmas,dance pop,0.561,0.782,0.0,153240.0,0.109,-7.444,63.0,1994-11-01,0.0317,127.148,4.0
1908,Juice WRLD,109.0,733603.0,Robbery,2019-12-13--2019-12-20,0.328,Death Race For Love,chicago rap,0.685,0.692,0.0,240050.0,0.153,-5.122,88.0,2019-03-08,0.0457,159.966,5.0
1909,Harry Styles,110.0,732224.0,She,2019-12-13--2019-12-20,0.000532,Fine Line,pop,0.535,0.521,0.371,362653.0,0.19,-5.942,77.0,2019-12-13,0.0272,140.026,3.0
1910,Don Toliver,111.0,714700.0,No Idea,2019-12-13--2019-12-20,0.519,No Idea,rap,0.651,0.631,0.000579,154424.0,0.165,-5.717,16.0,2019-05-29,0.0896,127.994,4.0
1911,Lizzo,112.0,702801.0,Good as Hell (feat. Ariana Grande) - Remix,2019-12-13--2019-12-20,0.298,Good as Hell (feat. Ariana Grande) [Remix],dance pop,0.668,0.892,0.0,159011.0,0.735,-3.001,77.0,2019-10-25,0.0645,95.927,4.0
1912,Darkoo,113.0,700831.0,Gangsta,2019-12-13--2019-12-20,0.367,Gangsta,afroswing,0.708,0.649,0.0,216000.0,0.153,-7.961,7.0,2019-11-08,0.306,200.125,4.0
1913,Joel Corry,114.0,695137.0,Sorry,2019-12-13--2019-12-20,0.0547,Sorry,dance pop,0.744,0.79,0.000802,188640.0,0.32,-4.617,71.0,2019-04-05,0.0562,125.002,4.0
1914,Elvis Presley,115.0,694808.0,Blue Christmas,2019-12-13--2019-12-20,0.9,Elvis' Christmas Album,rock-and-roll,0.465,0.27,0.00104,129173.0,0.145,-16.661,60.0,1957-10-15,0.0425,94.518,4.0
1915,The Jackson 5,116.0,688139.0,I Saw Mommy Kissing Santa Claus,2019-12-13--2019-12-20,0.301,Jackson Five Christmas Album,motown,0.571,0.585,1.91e-05,179666.0,0.688,-11.694,32.0,1970-01-01,0.0548,128.487,4.0
1916,Harry Styles,117.0,686298.0,"Sunflower, Vol. 6",2019-12-13--2019-12-20,0.000564,Fine Line,pop,0.566,0.846,0.000795,221826.0,0.121,-6.904,77.0,2019-12-13,0.035,160.02,4.0
1917,Ed Sheeran,118.0,683889.0,Take Me Back to London (feat. Stormzy),2019-12-13--2019-12-20,0.219,No.6 Collaborations Project,pop,0.885,0.762,0.0,189733.0,0.162,-5.513,71.0,2019-07-12,0.216,138.058,4.0
1918,Kygo,119.0,678704.0,Higher Love,2019-12-13--2019-12-20,0.0154,Higher Love,edm,0.693,0.678,6.05e-06,228267.0,0.101,-7.159,83.0,2019-06-28,0.0324,103.952,4.0
1919,Burl Ives,120.0,669457.0,A Holly Jolly Christmas - Single Version,2019-12-13--2019-12-20,0.579,Have A Holly Jolly Christmas,adult standards,0.683,0.375,0.0,135533.0,0.076,-13.056,57.0,1965-01-01,0.0303,140.467,4.0
1920,MEDUZA,121.0,642849.0,Piece Of Your Heart,2019-12-13--2019-12-20,0.0404,Piece Of Your Heart,brazilian edm,0.677,0.744,0.00016,152913.0,0.074,-6.806,82.0,2019-02-01,0.0295,124.08,4.0
1921,MIST,122.0,642440.0,So High (feat. Fredo),2019-12-13--2019-12-20,0.00612,So High (feat. Fredo),birmingham grime,0.866,0.714,1.88e-05,163142.0,0.0787,-6.107,67.0,2019-07-04,0.22,108.005,4.0
1922,Meghan Trainor,123.0,641319.0,I'll Be Home,2019-12-13--2019-12-20,0.318,Title (Expanded Edition),dance pop,0.542,0.37,4.84e-06,219653.0,0.108,-7.779,50.0,2015-01-09,0.0257,84.796,4.0
1923,Sia,124.0,633654.0,Santa's Coming for Us,2019-12-13--2019-12-20,0.0205,Everyday Is Christmas,australian dance,0.669,0.854,0.0,206533.0,0.047,-4.486,51.0,2017-11-17,0.0999,93.057,4.0
1924,Pretenders,125.0,633590.0,2000 Miles - 2007 Remaster,2019-12-13--2019-12-20,0.00292,Learning to Crawl (Expanded & Remastered),album rock,0.22,0.708,0.0267,220426.0,0.102,-9.051,51.0,1984,0.035,66.214,4.0
1925,Camila Cabello,126.0,631096.0,Liar,2019-12-13--2019-12-20,0.0169,Romance,dance pop,0.74,0.498,0.00282,207038.0,0.319,-6.684,72.0,2019-12-06,0.0456,98.016,4.0
1926,The Killers,127.0,625302.0,Mr. Brightside,2019-12-13--2019-12-20,0.00113,Hot Fuss,modern rock,0.352,0.928,0.0,222106.0,0.0987,-3.71,61.0,2004-06-07,0.0758,148.026,4.0
1927,Sidemen,128.0,623002.0,The Gift,2019-12-13--2019-12-20,0.191,The Gift,social media pop,0.851,0.586,0.0,136150.0,0.273,-7.085,55.0,2019-12-15,0.416,140.12,4.0
1928,Chuck Berry,129.0,621718.0,Run Rudolph Run - Single Version,2019-12-13--2019-12-20,0.812,Rock 'N' Roll Rarities,blues rock,0.681,0.715,9.43e-06,165733.0,0.0777,-10.609,59.0,1986-01-01,0.0912,152.132,4.0
1929,Tom Walker,130.0,615063.0,Better Half of Me,2019-12-13--2019-12-20,0.816,What a Time To Be Alive (Deluxe Edition),indie anthem-folk,0.586,0.447,0.0,195451.0,0.277,-4.699,65.0,2019-11-08,0.0287,107.851,4.0
1930,Tiësto,131.0,614384.0,God Is A Dancer (with Mabel),2019-12-13--2019-12-20,0.0241,God Is A Dancer (with Mabel),big room,0.774,0.747,6.11e-06,168125.0,0.342,-3.908,74.0,2019-09-20,0.082,119.964,4.0
1931,Juice WRLD,132.0,613605.0,Legends,2019-12-13--2019-12-20,0.115,Legends,chicago rap,0.594,0.798,0.0,191840.0,0.143,-5.244,81.0,2018-06-22,0.0844,142.049,4.0
1932,Tony Bennett,133.0,610969.0,Winter Wonderland,2019-12-13--2019-12-20,0.833,Snowfall - The Tony Bennett Christmas Album,adult standards,0.452,0.366,0.0,133866.0,0.0789,-14.152,58.0,1968-11-06,0.0415,114.993,4.0
1933,Russ Millions,134.0,610456.0,Keisha & Becky - Remix,2019-12-13--2019-12-20,0.251,Keisha & Becky (Remix),uk hip hop,0.863,0.471,0.0,252906.0,0.121,-9.545,70.0,2019-04-11,0.478,140.969,4.0
1934,Harry Styles,135.0,610230.0,Treat People With Kindness,2019-12-13--2019-12-20,0.128,Fine Line,pop,0.653,0.869,2.2e-05,197346.0,0.046,-3.725,72.0,2019-12-13,0.0382,122.017,4.0
1935,ZieZie,136.0,610167.0,French Kisses (feat. Aitch),2019-12-13--2019-12-20,0.0101,French Kisses (feat. Aitch),uk hip hop,0.761,0.545,3.14e-06,175154.0,0.128,-6.491,58.0,2019-11-22,0.183,107.036,4.0
1936,Harry Styles,137.0,608400.0,Fine Line,2019-12-13--2019-12-20,0.172,Fine Line,pop,0.306,0.347,0.00013,377960.0,0.0485,-8.5,77.0,2019-12-13,0.0334,120.996,4.0
1937,Ariana Grande,138.0,604689.0,Santa Baby,2019-12-13--2019-12-20,0.0501,Christmas Kisses,dance pop,0.748,0.778,0.0,170933.0,0.284,-5.752,61.0,2013-01-01,0.137,95.989,4.0
1938,Headie One,139.0,598822.0,Both,2019-12-13--2019-12-20,0.565,Music x Road,uk hip hop,0.751,0.674,0.000266,213586.0,0.114,-7.101,68.0,2019-08-23,0.212,145.808,4.0
1939,Idina Menzel,140.0,597308.0,Into the Unknown,2019-12-13--2019-12-20,0.849,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),hollywood,0.323,0.405,0.000544,194848.0,0.138,-8.533,78.0,2019-11-15,0.0413,145.104,5.0
1940,Mud,141.0,595907.0,Lonely This Christmas,2019-12-13--2019-12-20,0.81,"A's, B's And Rarities",classic uk pop,0.551,0.325,0.000112,213160.0,0.115,-13.507,38.0,2005-12-20,0.0286,98.932,3.0
1941,Sam Smith,142.0,593348.0,How Do You Sleep?,2019-12-13--2019-12-20,0.153,How Do You Sleep?,pop,0.477,0.682,0.0,202204.0,0.0763,-4.931,83.0,2019-07-19,0.0925,110.567,5.0
1942,Eartha Kitt,143.0,588551.0,Santa Baby (with Henri René & His Orchestra),2019-12-13--2019-12-20,0.902,Heavenly Eartha,adult standards,0.7,0.138,0.0,206066.0,0.185,-12.347,48.0,2002,0.0612,84.487,4.0
1943,Ariana Grande,144.0,576689.0,7 rings,2019-12-13--2019-12-20,0.592,"thank u, next",dance pop,0.778,0.317,0.0,178626.0,0.0881,-10.732,86.0,2019-02-08,0.334,140.048,4.0
1944,JAY1,145.0,576275.0,Million Bucks,2019-12-13--2019-12-20,0.00735,Million Bucks,uk hip hop,0.949,0.596,0.0002,155404.0,0.0735,-7.98,57.0,2019-12-05,0.249,105.978,4.0
1945,Lil Nas X,146.0,565483.0,Old Town Road - Remix,2019-12-13--2019-12-20,0.0533,7 EP,country rap,0.878,0.619,0.0,157066.0,0.113,-5.56,83.0,2019-06-21,0.102,136.041,4.0
1946,Harry Styles,147.0,565388.0,Canyon Moon,2019-12-13--2019-12-20,0.328,Fine Line,pop,0.603,0.621,3.49e-05,189786.0,0.119,-7.14,73.0,2019-12-13,0.0267,94.022,4.0
1947,PARTYNEXTDOOR,148.0,565322.0,LOYAL (feat. Drake),2019-12-13--2019-12-20,0.517,LOYAL (feat. Drake),pop,0.866,0.53,0.00159,197973.0,0.0946,-6.347,59.0,2019-11-22,0.0495,104.952,4.0
1948,Post Malone,149.0,562846.0,Wow.,2019-12-13--2019-12-20,0.136,Hollywood's Bleeding,dfw rap,0.829,0.539,1.78e-06,149546.0,0.103,-7.359,83.0,2019-09-06,0.208,99.96,4.0
1949,Poundz,150.0,560315.0,Opp Thot,2019-12-13--2019-12-20,0.351,Opp Thot,uk hip hop,0.895,0.778,7.67e-05,196153.0,0.0934,-6.4,63.0,2019-10-11,0.184,141.984,4.0
1950,Billie Eilish,151.0,559850.0,when the party's over,2019-12-13--2019-12-20,0.978,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",electropop,0.367,0.111,3.97e-05,196077.0,0.0897,-14.084,85.0,2019-03-29,0.0972,82.642,4.0
1951,Dave,152.0,558098.0,Thiago Silva,2019-12-13--2019-12-20,0.0641,Thiago Silva,uk hip hop,0.667,0.673,4e-06,201963.0,0.0975,-7.574,70.0,2016-05-13,0.323,144.256,4.0
1952,Stevie Wonder,153.0,554399.0,What Christmas Means To Me,2019-12-13--2019-12-20,0.244,Someday At Christmas,funk,0.478,0.542,0.0,147226.0,0.0839,-10.135,49.0,1967-11-01,0.0367,167.486,4.0
1953,Lewis Capaldi,154.0,554252.0,Grace,2019-12-13--2019-12-20,0.435,Divinely Uninspired To A Hellish Extent,pop,0.722,0.565,0.0,185657.0,0.165,-5.848,71.0,2019-05-17,0.0335,104.483,4.0
1954,Michael Bublé,155.0,551507.0,I'll Be Home for Christmas,2019-12-13--2019-12-20,0.934,Christmas,adult standards,0.282,0.101,5.05e-05,264826.0,0.159,-14.657,50.0,2011-10-14,0.0315,83.13,4.0
1955,Dermot Kennedy,156.0,549640.0,Outnumbered,2019-12-13--2019-12-20,0.247,Without Fear,folk-pop,0.614,0.684,0.0,245699.0,0.0976,-5.79,68.0,2019-10-04,0.157,156.85,4.0
1956,NSG,157.0,548195.0,Options,2019-12-13--2019-12-20,0.387,Options,afro dancehall,0.836,0.621,9.16e-05,240081.0,0.104,-4.685,64.0,2018-11-30,0.0892,101.995,4.0
1957,Lady Gaga,158.0,543765.0,Shallow,2019-12-13--2019-12-20,0.371,A Star Is Born Soundtrack,dance pop,0.572,0.385,0.0,215733.0,0.231,-6.362,85.0,2018-10-05,0.0308,95.799,4.0
1958,Michael Bublé,159.0,542136.0,Cold December Night,2019-12-13--2019-12-20,0.00722,Christmas,adult standards,0.517,0.702,0.0,198266.0,0.0896,-6.763,43.0,2011-10-14,0.0247,83.873,4.0
1959,Mabel,160.0,539952.0,Don't Call Me Up,2019-12-13--2019-12-20,0.296,Ivy To Roses (Mixtape),dance pop,0.674,0.881,3.01e-06,178480.0,0.0793,-2.853,81.0,2019-01-18,0.147,98.994,4.0
1960,Juice WRLD,161.0,536130.0,All Girls Are The Same,2019-12-13--2019-12-20,0.0769,Goodbye & Good Riddance,chicago rap,0.671,0.529,0.000335,165819.0,0.0856,-7.226,86.0,2018-12-10,0.307,161.989,4.0
1961,DaBaby,162.0,535980.0,BOP,2019-12-13--2019-12-20,0.189,KIRK,north carolina hip hop,0.769,0.787,0.0,159714.0,0.129,-3.909,83.0,2019-09-27,0.367,126.77,4.0
1962,Dave,163.0,535025.0,Paper Cuts,2019-12-13--2019-12-20,0.204,Paper Cuts,uk hip hop,0.887,0.594,1.54e-06,179626.0,0.0858,-7.7,60.0,2019-11-07,0.294,139.97,4.0
1963,Michael Bublé,164.0,532916.0,White Christmas (with Shania Twain),2019-12-13--2019-12-20,0.469,Christmas,adult standards,0.628,0.484,1.23e-05,216626.0,0.126,-7.588,47.0,2011-10-14,0.0319,63.476,4.0
1964,Ellie Goulding,165.0,532311.0,Hate Me (with Juice WRLD),2019-12-13--2019-12-20,0.108,Hate Me (with Juice WRLD),dance pop,0.657,0.768,0.0,186223.0,0.144,-4.628,80.0,2019-06-26,0.0507,75.025,4.0
1965,Bugzy Malone,166.0,532193.0,December,2019-12-13--2019-12-20,0.445,December,grime,0.577,0.656,0.0,262915.0,0.178,-7.618,51.0,2019-12-06,0.329,139.642,4.0
1966,Lizzo,167.0,531676.0,Truth Hurts,2019-12-13--2019-12-20,0.11,Cuz I Love You (Deluxe),dance pop,0.715,0.624,0.0,173325.0,0.123,-3.046,71.0,2019-05-03,0.114,158.087,4.0
1967,Sam Feldt,168.0,531073.0,Post Malone (feat. RANI),2019-12-13--2019-12-20,0.0771,Post Malone (feat. RANI) [Joe Stone Remix],dance pop,0.59,0.642,0.0,174444.0,0.105,-3.87,74.0,2019-08-16,0.122,107.356,4.0
1968,Ava Max,169.0,525799.0,Sweet but Psycho,2019-12-13--2019-12-20,0.0691,Sweet but Psycho,dance pop,0.719,0.704,0.0,187436.0,0.166,-4.724,74.0,2018-08-17,0.0476,133.002,4.0
1969,Sigala,170.0,523190.0,We Got Love,2019-12-13--2019-12-20,0.0205,We Got Love,dance pop,0.722,0.812,2.51e-05,213040.0,0.131,-3.352,72.0,2019-11-01,0.0924,124.909,4.0
1970,Chris Brown,171.0,519791.0,No Guidance (feat. Drake),2019-12-13--2019-12-20,0.123,Indigo,dance pop,0.698,0.454,0.0,260640.0,0.155,-6.756,84.0,2019-06-28,0.151,92.932,4.0
1971,Post Malone,172.0,516875.0,Goodbyes (Feat. Young Thug),2019-12-13--2019-12-20,0.447,Goodbyes (Feat. Young Thug),dfw rap,0.58,0.653,0.0,174960.0,0.111,-3.818,13.0,2019-07-05,0.0745,150.231,4.0
1972,Mykola Dmytrovych Leontovych,173.0,515168.0,Carol of the Bells,2019-12-13--2019-12-20,0.994,Home Alone (Original Motion Picture Soundtrack) [Anniversary Edition],post-romantic era,0.418,0.106,0.0292,85266.0,0.179,-22.507,59.0,1990,0.0448,46.718,4.0
1973,Khalid,174.0,511448.0,Up All Night,2019-12-13--2019-12-20,0.00103,Up All Night,alternative r&b,0.665,0.712,0.00342,157220.0,0.102,-7.536,77.0,2019-11-14,0.0527,93.989,4.0
1974,George Ezra,175.0,511009.0,Shotgun,2019-12-13--2019-12-20,0.286,Staying at Tamara's,folk-pop,0.672,0.735,0.0,201287.0,0.242,-4.733,79.0,2018-03-23,0.0457,115.741,4.0
1975,Jonas Brothers,176.0,501716.0,Like It's Christmas,2019-12-13--2019-12-20,0.0183,Like It's Christmas,boy band,0.725,0.571,0.0,200880.0,0.0519,-6.007,60.0,2019-11-08,0.102,146.035,4.0
1976,Roddy Ricch,177.0,499558.0,The Box,2019-12-13--2019-12-20,0.104,Please Excuse Me For Being Antisocial,melodic rap,0.896,0.586,0.0,196652.0,0.79,-6.687,89.0,2019-12-06,0.0559,116.971,4.0
1977,Gwen Stefani,178.0,498114.0,You Make It Feel Like Christmas (feat. Blake Shelton),2019-12-13--2019-12-20,0.0156,You Make It Feel Like Christmas,dance pop,0.635,0.87,0.0,156773.0,0.118,-4.291,56.0,2017-10-06,0.04,93.0,4.0
1978,Destiny's Child,179.0,497770.0,8 Days of Christmas,2019-12-13--2019-12-20,0.0501,The Writing's On The Wall,dance pop,0.687,0.843,0.0,210133.0,0.0604,-1.18,39.0,1999-09-07,0.194,99.789,4.0
1979,D-Block Europe,180.0,494056.0,Home P*ssy,2019-12-13--2019-12-20,0.0316,PTSD,uk hip hop,0.633,0.57,0.0,205333.0,0.0695,-7.581,62.0,2019-09-27,0.333,179.941,4.0
1980,Dave,181.0,489509.0,Funky Friday,2019-12-13--2019-12-20,0.0783,Funky Friday,uk hip hop,0.975,0.535,0.0,182741.0,0.107,-7.227,68.0,2018-10-04,0.196,125.066,4.0
1981,Brett Eldredge,182.0,482630.0,"Baby, It's Cold Outside (feat. Meghan Trainor)",2019-12-13--2019-12-20,0.738,Glow,contemporary country,0.583,0.572,0.0,173560.0,0.266,-4.776,57.0,2016-10-28,0.0366,113.998,4.0
1982,AJ Tracey,183.0,480816.0,Floss (feat. MoStack & Not3s),2019-12-13--2019-12-20,0.0272,AJ Tracey (Deluxe),grime,0.827,0.486,0.0,182280.0,0.0502,-10.023,59.0,2019-10-25,0.367,104.92,4.0
1983,Liam Payne,184.0,479906.0,All I Want (For Christmas),2019-12-13--2019-12-20,0.811,LP1,dance pop,0.581,0.257,0.0,181144.0,0.514,-10.079,0.0,2019-12-06,0.0355,140.007,4.0
1984,Idina Menzel,185.0,479832.0,Baby It's Cold Outside (duet with Michael Bublé),2019-12-13--2019-12-20,0.647,Holiday Wishes,hollywood,0.553,0.476,0.0,166146.0,0.281,-8.869,54.0,2014-10-10,0.0649,113.401,3.0
1985,Billie Eilish,186.0,474415.0,lovely (with Khalid),2019-12-13--2019-12-20,0.934,lovely (with Khalid),electropop,0.351,0.296,0.0,200185.0,0.095,-10.109,88.0,2018-04-19,0.0333,115.284,4.0
1986,Ella Fitzgerald,187.0,471290.0,Sleigh Ride,2019-12-13--2019-12-20,0.764,Ella Wishes You A Swinging Christmas (Expanded Edition),adult standards,0.508,0.287,0.0,175986.0,0.153,-12.472,55.0,1960-01-01,0.0523,154.759,4.0
1987,Steel Banglez,188.0,469913.0,Fashion Week (feat. AJ Tracey & MoStack),2019-12-13--2019-12-20,0.272,Fashion Week (feat. AJ Tracey & MoStack),afroswing,0.694,0.757,0.000161,201998.0,0.0995,-6.899,67.0,2019-03-21,0.167,97.167,4.0
1988,Queen,189.0,466345.0,Thank God It's Christmas - Non-Album Single,2019-12-13--2019-12-20,0.214,The Works (Deluxe Edition 2011 Remaster),classic rock,0.296,0.421,0.0,261626.0,0.232,-8.891,49.0,1984-02-27,0.0285,83.425,5.0
1989,East 17,190.0,465361.0,Stay Another Day,2019-12-13--2019-12-20,0.578,Steam,boy band,0.524,0.489,0.000624,267133.0,0.186,-7.828,56.0,1994-01-01,0.0274,127.768,4.0
1990,XXXTENTACION,191.0,464430.0,SAD!,2019-12-13--2019-12-20,0.258,?,emo rap,0.74,0.613,0.00372,166605.0,0.123,-4.88,86.0,2018-03-16,0.145,75.023,4.0
1991,Drake,192.0,456221.0,Money In The Grave (Drake ft. Rick Ross),2019-12-13--2019-12-20,0.101,The Best In The World Pack,canadian hip hop,0.831,0.502,0.0,205426.0,0.122,-4.045,82.0,2019-06-15,0.046,100.541,4.0
1992,benny blanco,193.0,453114.0,Eastside (with Halsey & Khalid),2019-12-13--2019-12-20,0.549,FRIENDS KEEP SECRETS,dance pop,0.632,0.686,0.0,170769.0,0.2,-7.665,74.0,2018-12-07,0.243,89.949,4.0
1993,Y2K,194.0,452867.0,Lalala,2019-12-13--2019-12-20,0.181,Lalala,pop rap,0.843,0.391,0.0,160626.0,0.137,-7.899,82.0,2019-06-28,0.0845,129.972,4.0
1994,Céline Dion,195.0,447931.0,Happy Xmas (War Is Over),2019-12-13--2019-12-20,0.451,These Are Special Times,canadian pop,0.347,0.6,0.0,254706.0,0.279,-5.254,54.0,1998,0.0303,172.062,4.0
1995,Tory Lanez,196.0,445334.0,Jerry Sprunger (with T-Pain),2019-12-13--2019-12-20,0.137,Chixtape 5,canadian hip hop,0.76,0.746,0.0,233546.0,0.0905,-5.331,72.0,2019-11-15,0.227,100.011,4.0
1996,Taylor Swift,197.0,444100.0,Christmas Tree Farm,2019-12-13--2019-12-20,0.06,Christmas Tree Farm,dance pop,0.598,0.68,0.0,228026.0,0.324,-4.505,61.0,2019-12-06,0.0331,134.002,4.0
1997,Marshmello,198.0,442570.0,Happier,2019-12-13--2019-12-20,0.191,Happier,brostep,0.687,0.792,0.0,214289.0,0.167,-2.749,85.0,2018-08-17,0.0452,100.015,4.0
1998,Queen,199.0,440746.0,Bohemian Rhapsody - 2011 Mix,2019-12-13--2019-12-20,0.271,A Night At The Opera (2011 Remaster),classic rock,0.414,0.404,0.0,354320.0,0.3,-9.928,82.0,1975-11-21,0.0499,71.105,4.0
1999,Bing Crosby,200.0,439988.0,It's Beginning To Look Like Christmas,2019-12-13--2019-12-20,0.77,White Christmas,adult standards,0.473,0.212,0.0,166000.0,0.136,-15.018,57.0,1945-01-01,0.0496,96.94,4.0
2000,Mariah Carey,1.0,5500927.0,All I Want for Christmas Is You,2019-12-20--2019-12-27,0.164,Merry Christmas,dance pop,0.336,0.627,0.0,241106.0,0.0708,-7.463,75.0,1994-11-01,0.0384,150.273,4.0
2001,Wham!,2.0,5411797.0,Last Christmas,2019-12-20--2019-12-27,0.189,LAST CHRISTMAS,dance pop,0.735,0.478,2.48e-06,262960.0,0.355,-12.472,63.0,1984-11-29,0.0293,107.682,4.0
2002,Brenda Lee,3.0,4065969.0,Rockin' Around The Christmas Tree,2019-12-20--2019-12-27,0.614,Merry Christmas From Brenda Lee,adult standards,0.589,0.472,0.0,126266.0,0.505,-8.749,70.0,1964-10-19,0.0502,67.196,4.0
2003,Michael Bublé,4.0,3787063.0,It's Beginning to Look a Lot like Christmas,2019-12-20--2019-12-27,0.908,Christmas,adult standards,0.339,0.214,7.47e-06,206639.0,0.341,-11.714,54.0,2011-10-14,0.0375,94.775,3.0
2004,The Pogues,5.0,3750669.0,Fairytale of New York (feat. Kirsty MacColl),2019-12-20--2019-12-27,0.582,If I Should Fall from Grace with God (Expanded Edition),celtic,0.271,0.551,4.16e-05,272466.0,0.256,-7.48,61.0,1988-09-05,0.0457,78.111,4.0
2005,Band Aid,6.0,3655402.0,Do They Know It's Christmas? - 1984 Version,2019-12-20--2019-12-27,0.164,Do They Know It's Christmas?,musical advocacy,0.599,0.642,3.33e-05,222533.0,0.0992,-6.936,61.0,2004-01-01,0.0363,115.412,4.0
2006,Andy Williams,7.0,3502518.0,It's the Most Wonderful Time of the Year,2019-12-20--2019-12-27,0.871,The Andy Williams Christmas Album,adult standards,0.234,0.526,2.34e-06,151000.0,0.122,-11.656,48.0,1963,0.0411,201.739,3.0
2007,Ariana Grande,8.0,3224174.0,Santa Tell Me,2019-12-20--2019-12-27,0.0489,Santa Tell Me,dance pop,0.525,0.621,0.0,204093.0,0.294,-7.364,72.0,2014-11-24,0.116,191.9,4.0
2008,Shakin' Stevens,9.0,3222783.0,Merry Christmas Everyone,2019-12-20--2019-12-27,0.129,Merry Christmas Everyone,classic uk pop,0.534,0.905,0.0,220160.0,0.128,-3.315,0.0,1991,0.0369,202.899,4.0
2009,Tones And I,10.0,3192405.0,Dance Monkey,2019-12-20--2019-12-27,0.688,Dance Monkey,australian pop,0.825,0.593,0.000161,209754.0,0.17,-6.401,70.0,2019-05-10,0.0988,98.078,4.0
2010,Bobby Helms,11.0,3115866.0,Jingle Bell Rock,2019-12-20--2019-12-27,0.643,The Classic Years: 1956-1962,Missing,0.754,0.424,0.0,130973.0,0.0652,-8.463,69.0,1992-01-01,0.0363,119.705,4.0
2011,Stormzy,12.0,3040788.0,Own It (feat. Ed Sheeran & Burna Boy),2019-12-20--2019-12-27,0.00838,Heavy Is The Head,grime,0.817,0.781,5.21e-06,216706.0,0.123,-4.178,76.0,2019-12-13,0.112,104.0,4.0
2012,Elton John,13.0,3028595.0,Step Into Christmas,2019-12-20--2019-12-27,0.102,Goodbye Yellow Brick Road (40th Anniversary Celebration / Super Deluxe),glam rock,0.526,0.925,8.9e-06,272393.0,0.305,-5.584,56.0,1973-10-05,0.0363,140.308,4.0
2013,Chris Rea,14.0,3019691.0,Driving Home for Christmas - 2019 Remaster,2019-12-20--2019-12-27,0.355,"Dancing with Strangers (Deluxe Edition, 2019 Remaster)",art rock,0.513,0.583,1.96e-05,241626.0,0.18,-10.863,53.0,1987-08-02,0.038,180.183,4.0
2014,John Lennon,15.0,2972715.0,Happy Xmas (War Is Over) - Remastered 2010,2019-12-20--2019-12-27,0.318,Power To The People - The Hits,album rock,0.328,0.607,0.0,213880.0,0.765,-11.076,33.0,2010-10-04,0.0315,146.537,3.0
2015,Michael Bublé,16.0,2865825.0,Holly Jolly Christmas,2019-12-20--2019-12-27,0.865,Christmas,adult standards,0.647,0.465,0.0,119786.0,0.0882,-8.308,53.0,2011-10-14,0.0428,151.251,4.0
2016,Kelly Clarkson,17.0,2842392.0,Underneath the Tree,2019-12-20--2019-12-27,0.0013,Wrapped In Red,dance pop,0.509,0.812,1.99e-05,229640.0,0.214,-5.438,65.0,2013-10-25,0.0537,159.876,4.0
2017,Paul McCartney,18.0,2744755.0,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,2019-12-20--2019-12-27,0.322,McCartney II (Special Edition),album rock,0.774,0.511,0.0,227653.0,0.0672,-8.914,28.0,1980-05-16,0.0319,94.736,4.0
2018,Arizona Zervas,19.0,2632135.0,ROXANNE,2019-12-20--2019-12-27,0.0522,ROXANNE,pop rap,0.621,0.601,0.0,163636.0,0.46,-5.616,87.0,2019-10-10,0.148,116.735,5.0
2019,Frank Sinatra,20.0,2608898.0,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),2019-12-20--2019-12-27,0.903,Christmas Songs by Sinatra,adult standards,0.653,0.259,0.0,155453.0,0.362,-13.336,65.0,1994-11-08,0.0595,142.157,4.0
2020,Leona Lewis,21.0,2551190.0,One More Sleep,2019-12-20--2019-12-27,0.464,"Christmas, With Love",british soul,0.638,0.813,0.0,239586.0,0.344,-3.849,52.0,2013-12-02,0.0362,112.986,4.0
2021,José Feliciano,22.0,2505653.0,Feliz Navidad,2019-12-20--2019-12-27,0.534,The Definite Best,bolero,0.485,0.857,0.0,182360.0,0.347,-7.059,59.0,2001-09-03,0.0442,148.749,4.0
2022,The Ronettes,23.0,2439641.0,Sleigh Ride,2019-12-20--2019-12-27,0.457,NOW 100 Hits Christmas,brill building pop,0.527,0.768,2.36e-06,180832.0,0.304,-7.557,32.0,2019-11-08,0.0304,91.75,4.0
2023,Darlene Love,24.0,2316663.0,Christmas (Baby Please Come Home),2019-12-20--2019-12-27,0.275,NOW 100 Hits Christmas,brill building pop,0.34,0.805,0.000459,164959.0,0.0988,-6.3,38.0,2019-11-08,0.053,126.865,4.0
2024,Justin Bieber,25.0,2311797.0,Mistletoe,2019-12-20--2019-12-27,0.498,Under The Mistletoe (Deluxe Edition),canadian pop,0.657,0.56,0.0,182946.0,0.0794,-9.049,69.0,2011-01-01,0.0467,161.993,4.0
2025,Bing Crosby,26.0,2294374.0,White Christmas,2019-12-20--2019-12-27,0.673,Holiday Inn (Original Motion Picture Soundtrack),adult standards,0.317,0.158,0.353,177480.0,0.338,-16.485,62.0,1942-01-01,0.0381,130.503,3.0
